AwayTeam HomeTeam AwayScore HomeScore IgnoreHome
Petroleiros Bulls 6 13 NA
Fenix Cacadores 12 46 NA
Pirates Mariners 0 26 NA
Cacadores Petroleiros 39 15 NA
Pirates Espectros 14 63 NA
Mariners Bravos 33 22 NA
Bravos Bulls 0 56 NA
Espectros Fenix 54 0 NA
Fenix Pirates 25 14 NA
Cacadores Bravos 25 0 NA
Bulls Espectros 10 12 NA
Petroleiros Mariners 0 8 NA
Mariners Cacadores 26 28 NA
Bulls Petroleiros 23 9 NA
Espectros Bravos 41 0 NA
Mariners Pirates 31 0 NA
Cacadores Fenix 29 12 NA
Bravos Espectros 3 56 NA
Fenix Bulls 6 49 NA
Pirates Petroleiros 0 57 NA
Petroleiros Fenix 50 8 NA
Bulls Cacadores 6 14 NA
Bravos Pirates 14 7 NA
Espectros Mariners 7 24 NA
#Playoffs
Bulls Mariners 6 28 NA
Cacadores Espectros 18 24 NA
Espectros Mariners 38 12 TRUE
